Country,Department,Health Zone,Commune,Year,Population,0-5 Male Population,0-5 Female Population,0-5 Total Population,5+ Male Population,5+ Female Population,5+ Total Population,Male Total Population,Female Total Population,
Bénin,Zou,Djidja-Abomey-Agbangnizoun,Abomey,2018,"107,162","8,777","8,630","17,405","42,738","47,005","89,757","51,515","55,635",
Bénin,Atlantique,Abomey-Calavi-So-ava,Abomey-Calavi (Com),2018,"762,326","64,325","61,990","126,290","312,246","323,789","636,037","376,571","385,779",
Bénin,Plateau,Pobè-Kétou-Adja-ouèrè,Adja-Ouèrè (Com),2018,"135,056","11,208","10,854","22,059","54,280","58,703","112,997","65,489","69,558",
Bénin,Oueme,Akpro-missérété-Avrankou-Adjarra,Adjarra,2018,"113,153","9,570","9,120","18,686","45,740","48,719","94,467","55,310","57,840",
Bénin,Oueme,Adjohoun-Bonou-Dangbo,Adjohoun (Com),2018,"87,484","7,399","7,051","14,447","35,364","37,667","73,037","42,763","44,719",
Bénin,Zou,Djidja-Abomey-Agbangnizoun,Agbangnizoun (Com),2018,"84,262","6,901","6,786","13,686","33,605","36,960","70,576","40,506","43,746",
Bénin,Oueme,Porto-Novo-Sèmè-kpodji-Aguégués,Aguegues,2018,"51,756","4,377","4,172","8,547","20,922","22,284","43,210","25,299","26,456",
Bénin,Oueme,Akpro-missérété-Avrankou-Adjarra,Akpro-Missereté (Com),2018,"147,793","12,499","11,913","24,406","59,743","63,634","123,387","72,243","75,547",
Bénin,Atlantique,Allada-Toffo-Zè,Allada,2018,"148,099","12,497","12,043","24,535","60,661","62,903","123,564","73,157","74,946",
Bénin,Couffo,Aplahoué-Djakotomey-Dogbo,Aplahoué (Com),2018,"198,734","16,354","15,968","32,316","77,124","89,243","166,418","93,478","105,211",
Bénin,Mono,Lokossa-Athiémè,Athieme (Com),2018,"65,602","5,061","4,970","10,030","26,990","28,579","55,573","32,052","33,549",
Bénin,Oueme,Akpro-missérété-Avrankou-Adjarra,Avrankou (Com),2018,"148,724","12,578","11,988","24,560","60,119","64,035","124,164","72,697","76,022",
Bénin,Alibori,Banikoara (ZS),Banikoara (Com),2018,"286,384","28,135","27,464","55,590","115,091","115,723","230,794","143,226","143,187",
Bénin,Collines,Savalou-Bantè,Bante (Com),2018,"124,485","10,229","9,751","19,975","51,473","53,038","104,510","61,702","62,789",
Bénin,Donga,Bassila (ZS),Bassila (Com),2018,"151,094","13,001","12,324","25,319","62,753","63,033","125,775","75,754","75,357",
Bénin,Borgou,Bembèrèkè-Sinendé,Bembèrèkè (Com),2018,"152,446","14,809","14,431","29,235","61,838","61,388","123,211","76,647","75,819",
Bénin,Zou,Bohicon-Za-kpota-Zogbodomey,Bohicon,2018,"199,515","16,341","16,068","32,405","79,569","87,513","167,110","95,910","103,582",
Bénin,Oueme,Adjohoun-Bonou-Dangbo,Bonou (Com),2018,"51,509","4,356","4,152","8,506","20,822","22,178","43,003","25,178","26,330",
Bénin,Mono,Comè-Grand popo-Houèyogbé-Bopa,Bopa (Com),2018,"111,825","8,628","8,471","17,096","46,008","48,716","94,729","54,635","57,187",
Bénin,Atacora,Natitingou-Boukoumbé-Toucountouna,Boukoumbe (Com),2018,"95,761","9,075","8,810","17,882","38,372","39,509","77,879","47,447","48,319",
Bénin,Atacora,Tanguiéta-Cobly-Matéri,Cobly,2018,"78,517","7,441","7,224","14,662","31,462","32,394","63,855","38,903","39,618",
Bénin,Mono,Comè-Grand popo-Houèyogbé-Bopa,Come (Com),2018,"92,903","7,168","7,038","14,203","38,223","40,472","78,700","45,390","47,510",
Bénin,Donga,Djougou-Ouaké-Copargo,Copargo (Com),2018,"82,391","7,090","6,720","13,806","34,219","34,372","68,584","41,308","41,092",
