unitid,hospital.name,year,HD2013.City.location.of.hospital,HD2013.ZIP.code,HD2013.Longitude.location.of.hospital,HD2013.Latitude.location.of.hospital,IC2013.Patients.total,IC2013.Number.of.first.time.patients.who.recieved.health.services,IC2013.Percent.of.first.time.patients.who.recieved.health.services,DRVIC2013.Percent.admitted...total,DRVIC2013.Percent.admitted...men,DRVIC2013.Percent.admitted...women,DRVIC2013.Admissions.yield...full.time,DRVIC2013.Hospital.monthly.expenses..2013.14,HD2013.State.abbreviation,DRVEF122013.12.month.full.time.equivalent.enrollment..2012.13,state.x,city.x,zipcode,rank,centile,superzip,adultpop,treatment,income,latitude,longitude
100654,HEALTH POST KAGBANG,2013,river,35762,6.543,9.085,6142,167,88,90,87,91,20,7182,cross_river,4524,AL,river,100654,20,7182,0,4524,90,6142,6.543,9.085
100663,Alhari Clinic,2013,karu,35294-0110,9.007,7.678,5689,103,93,87,88,86,35,7206,nasarawa,16253,AL,karu,100663,35,7206,0,16253,87,5689,9.007,7.678
100690,Primary health centre umukuru okehi,2013,etche,36117-3553,5.130,7.159,NA,NA,NA,NA,NA,NA,NA,6870,rivers,579,AL,etche,100690,NA,6870,NA,579,NA,NA,5.130,7.159
100706,PHC EHOM CENTRAL,2013,river,35899,5.463,8.146,2054,118,94,81,82,78,39,9192,cross_river,6080,AL,river,100706,39,9192,0,6080,81,2054,5.463,8.146
100724,Health post,2013,river,36104-0271,5.504,8.025,10245,269,87,51,48,53,27,8720,cross_river,5571,AL,river,100724,27,8720,0,5571,51,10245,5.504,8.025
100751,Tula Medical Centre,2013,ekeremor,35487-0166,5.076,5.872,30975,1469,76,57,56,57,37,9450,bayelsa,31723,AL,ekeremor,100751,37,9450,0,31723,57,30975,5.076,5.872
100812,HEALTH POST OKIRO,2013,river,35611,6.448,9.049,NA,NA,NA,NA,NA,NA,NA,NA,cross_river,2771,AL,river,100812,NA,NA,NA,2771,NA,NA,6.448,9.049
100830,Westend Hospital,2013,warri,36117-3596,5.546,5.761,1958,0,54,84,86,83,32,8750,delta,4092,AL,warri,100830,32,8750,0,4092,84,1958,5.546,5.761
100858,Lily Hospitals Ltd,2013,warri,36849,5.526,5.765,15745,617,83,83,83,83,28,9852,delta,23815,AL,warri,100858,28,9852,0,23815,83,15745,5.526,5.765
100937,Muazu Ahmed H/C Ishame,2013,lere,35254,10.285,8.594,1931,113,82,64,68,61,29,30690,kaduna,1331,AL,lere,100937,29,30690,0,1331,64,1931,10.285,8.594
101073,Health Clinic,2013,lere,36701,10.227,8.645,NA,NA,NA,NA,NA,NA,NA,8090,kaduna,515,AL,lere,101073,NA,8090,NA,515,NA,NA,10.227,8.645
101189,Uche Chukwu maternity,2013,oyigbo,36109-3378,4.871,7.143,NA,NA,NA,NA,NA,NA,NA,18230,rivers,3279,AL,oyigbo,101189,NA,18230,NA,3279,NA,NA,4.871,7.143
101435,Lafia medical clinic,2013,oyigbo,36106-2148,4.861,7.153,1470,43,93,63,61,65,28,23500,rivers,1078,AL,oyigbo,101435,28,23500,0,1078,63,1470,4.861,7.153
